rank,task_id,gdrive_link,path_to_demo_folder,folder_name
1,0,https://drive.google.com/drive/folders/1P8uCcMr_ojHHtPM379wBdBldEQBaUMJw?usp=drive_link,data/demos/0 @ 2023-12-25-15-10-58,0 @ 2023-12-25-15-10-58
2,0,https://drive.google.com/drive/folders/1C_xKhO_zcTDfd1mEckL28c6-z0WqMauw?usp=sharing,data/demos/0 @ 2024-01-08-14-57-29,0 @ 2024-01-08-14-57-29
3,0,https://drive.google.com/drive/folders/1uoHBYqA9He4We7blx8zSLmTC-NVtJynW?usp=drive_link,data/demos/0 @ 2024-01-13-04-37-18,0 @ 2024-01-13-04-37-18
4,0,https://drive.google.com/drive/folders/1fQQ0Sg5dN5DvyAvW2opAT3SevqAZqnwC?usp=share_link,data/demos/0 @ 2023-12-25-16-43-12,0 @ 2023-12-25-16-43-12
5,0,https://drive.google.com/drive/folders/1PTXGxkcZtAKjPdVc-osOksvxDc8rAZDC?usp=drive_link,data/demos/0 @ 2024-01-05-01-55-35,0 @ 2024-01-05-01-55-35
1,1,https://drive.google.com/drive/folders/1ILFpAmfZlvZjK4ilLeDYppKol185S4-O?usp=drive_link,data/demos/1 @ 2023-12-25-15-44-04,1 @ 2023-12-25-15-44-04
2,1,https://drive.google.com/drive/folders/1FTSiyARY2tzk9c5bueqycZCzg7AW1o5O?usp=sharing,data/demos/1 @ 2023-12-25-17-08-00,1 @ 2023-12-25-17-08-00
3,1,https://drive.google.com/drive/folders/1HeSHPlIF0W188ZUdzqDbVLOdp830GkwY?usp=drive_link,data/demos/1 @ 2024-01-05-01-57-42,1 @ 2024-01-05-01-57-42
4,1,https://drive.google.com/drive/folders/1zjbOg9NFA4ToE6otgqqAE9CNGKfcEMvB?usp=drive_link,data/demos/1 @ 2024-01-13-04-50-53,1 @ 2024-01-13-04-50-53
5,1,https://drive.google.com/drive/folders/1XHyNHDquXW90ses2LfKNt-xgeR9pK9lB?usp=sharing,data/demos/1 @ 2024-01-08-15-20-51,1 @ 2024-01-08-15-20-51
1,3,https://drive.google.com/drive/folders/1CWhc8uEkqSI2NB_SsSDpCjvNm70-a18l?usp=drive_link,data/demos/3 @ 2023-12-25-15-31-51,3 @ 2023-12-25-15-31-51
2,3,https://drive.google.com/drive/folders/1EQE-X33AK1FjLPt5pIroGT7mG1aaTcLm?usp=sharing,data/demos/3 @ 2024-01-08-17-05-36,3 @ 2024-01-08-17-05-36
3,3,https://drive.google.com/drive/folders/1atvY5FLLfVYBsisRPe15_lUR7-NCqnyw?usp=drive_link,data/demos/3 @ 2024-01-05-02-00-16,3 @ 2024-01-05-02-00-16
4,3,https://drive.google.com/drive/folders/1msB-7rBRJghXzPgqD0gbKFfyLTduK5sO?usp=sharing,data/demos/3 @ 2023-12-25-17-14-03,3 @ 2023-12-25-17-14-03
5,3,https://drive.google.com/drive/folders/1jaUtucG6qfBvsQjE0wm82u88y4ZXf1uy?usp=drive_link,data/demos/3 @ 2024-02-11-23-39-10,3 @ 2024-02-11-23-39-10
1,4,https://drive.google.com/drive/folders/17ZRIUBAAlJtojkPz2udP7SlekCDvTNL3?usp=sharing,data/demos/4 @ 2023-12-25-17-18-04,4 @ 2023-12-25-17-18-04
2,4,https://drive.google.com/drive/folders/11QUIDJMzV_rXZyzr8lCS05V7tVrxsRJj?usp=drive_link,data/demos/4 @ 2023-12-25-15-38-31,4 @ 2023-12-25-15-38-31
3,4,https://drive.google.com/drive/folders/1_Z0jMwE9oaSPtyKDTfJ9Fw2eAPGBiK-0?usp=drive_link,data/demos/4 @ 2024-01-05-02-01-20,4 @ 2024-01-05-02-01-20
4,4,https://drive.google.com/drive/folders/1ePedq_fPfMaYFK7GrdLlA1t1Qa59DtJs?usp=sharing,data/demos/4 @ 2024-01-08-17-09-53,4 @ 2024-01-08-17-09-53
5,4,https://drive.google.com/drive/folders/1kpN378vVIe4im6PN9jamX0JTOqRSrOmS?usp=drive_link,data/demos/4 @ 2024-02-11-23-42-34,4 @ 2024-02-11-23-42-34
1,5,https://drive.google.com/drive/folders/19b-jKw2PJqb8_8oW9l_BysYOtexiu__o?usp=drive_link,data/demos/5 @ 2024-01-05-02-02-06,5 @ 2024-01-05-02-02-06
2,5,https://drive.google.com/drive/folders/1QetJzaILJDLjAPkLIXd-KNDkfVOyF4Ub?usp=sharing,data/demos/5 @ 2024-01-08-17-12-24,5 @ 2024-01-08-17-12-24
